2022-04-07 09:50:57,545 ============================================================
2022-04-07 09:50:57,549 Loading data...
2022-04-07 09:50:57,551 Already preprocessed Training Data Part 1. Loading now...
2022-04-07 09:50:57,589 Already preprocessed Training Data Part2. Loading now...
2022-04-07 09:50:57,598 Already preprocessed Training Data Part3. Loading now...
2022-04-07 09:50:57,606 Already preprocessed this configuration. Loading now...
2022-04-07 09:57:16,390 Training Images: torch.Size([240, 240, 54560])
2022-04-07 09:57:16,391 Training Labels: torch.Size([240, 240, 54560])
2022-04-07 09:57:16,391 Validation Images: torch.Size([240, 240, 12400])
2022-04-07 09:57:16,391 Validation Labels: torch.Size([240, 240, 12400])
2022-04-07 09:57:16,391 ============================================================
2022-04-07 09:57:16,468 17 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-04-07 10:02:44,580 iteration 253 : loss : 0.158981, loss_ce: 0.039294
2022-04-07 10:02:45,855 iteration 254 : loss : 0.166813, loss_ce: 0.027427
2022-04-07 10:02:47,183 iteration 255 : loss : 0.111506, loss_ce: 0.033535
2022-04-07 10:02:48,763 iteration 256 : loss : 0.080235, loss_ce: 0.024324
2022-04-07 10:02:49,695 iteration 257 : loss : 0.183413, loss_ce: 0.026268
2022-04-07 10:02:51,095 iteration 258 : loss : 0.163345, loss_ce: 0.031020
2022-04-07 10:02:52,451 iteration 259 : loss : 0.211984, loss_ce: 0.032913
2022-04-07 10:02:54,023 iteration 260 : loss : 0.099957, loss_ce: 0.022572
2022-04-07 10:02:55,401 iteration 261 : loss : 0.102878, loss_ce: 0.022583
2022-04-07 10:02:56,350 iteration 262 : loss : 0.101335, loss_ce: 0.022827
2022-04-07 10:02:57,761 iteration 263 : loss : 0.143121, loss_ce: 0.030369
2022-04-07 10:02:58,586 iteration 264 : loss : 0.206618, loss_ce: 0.037231
2022-04-07 10:03:00,031 iteration 265 : loss : 0.151571, loss_ce: 0.029152
2022-04-07 10:03:01,166 iteration 266 : loss : 0.135486, loss_ce: 0.025215
2022-04-07 10:03:02,327 iteration 267 : loss : 0.141607, loss_ce: 0.029860
2022-04-07 10:03:03,477 iteration 268 : loss : 0.132102, loss_ce: 0.026515
2022-04-07 10:03:05,151 iteration 269 : loss : 0.095534, loss_ce: 0.023149
2022-04-07 10:03:06,434 iteration 270 : loss : 0.102727, loss_ce: 0.030348
2022-04-07 10:03:07,491 iteration 271 : loss : 0.215227, loss_ce: 0.025321
2022-04-07 10:03:08,522 iteration 272 : loss : 0.119184, loss_ce: 0.030645
2022-04-07 10:03:09,950 iteration 273 : loss : 0.106842, loss_ce: 0.027685
2022-04-07 10:03:11,026 iteration 274 : loss : 0.103127, loss_ce: 0.026424
2022-04-07 10:03:12,255 iteration 275 : loss : 0.096921, loss_ce: 0.025713
2022-04-07 10:03:13,499 iteration 276 : loss : 0.104434, loss_ce: 0.026750
2022-04-07 10:03:14,463 iteration 277 : loss : 0.183374, loss_ce: 0.028497
2022-04-07 10:03:15,997 iteration 278 : loss : 0.171058, loss_ce: 0.037386
2022-04-07 10:03:17,334 iteration 279 : loss : 0.124964, loss_ce: 0.024011
2022-04-07 10:03:18,803 iteration 280 : loss : 0.119400, loss_ce: 0.026995
2022-04-07 10:03:20,146 iteration 281 : loss : 0.162144, loss_ce: 0.029563
2022-04-07 10:03:21,317 iteration 282 : loss : 0.100627, loss_ce: 0.030870
2022-04-07 10:03:22,808 iteration 283 : loss : 0.167600, loss_ce: 0.047131
2022-04-07 10:03:24,088 iteration 284 : loss : 0.145895, loss_ce: 0.031118
2022-04-07 10:03:25,403 iteration 285 : loss : 0.157550, loss_ce: 0.040649
2022-04-07 10:03:26,758 iteration 286 : loss : 0.130425, loss_ce: 0.027088
